TAXPAYER_ID,ENTITY_NAME,MAILING_ADDRESS,CITY,STATE,ZIP_CODE,RTB_STATUS,STATE_OF_FORMATION,EffRegDateSOS,SOS_FILE_NO,REGISTERED_AGENT_NAME,REGISTERED_OFFICE_ADDRESS,REG_CITY,REG_ST,REG_ZIP
11331240637,"AMERICAN PAYROLL INSTITUTE, INC.",660 N MAIN AVE STE 100,SAN ANTONIO,TX,78205-1217,ACTIVE,NY,4/27/09,0006354907,TAMMY TRASCHER,210 TOP HILL,SAN ANTONIO,TX,78209
11334431100,THE UNIVERSAL CHURCH,106 S SAINT MARYS ST STE 200,SAN ANTONIO,TX,78205-3611,ACTIVE,NY,2/24/09,0009803407,ROBERT BRAUBACH,"106 S. ST. MARY'S STREET, SUITE 200",SAN ANTONIO,TX,78205
11341959135,"APA SERVICES, INC.",660 N MAIN AVE STE 100,SAN ANTONIO,TX,78205-1217,ACTIVE,DE,11/22/02,0800147813,TAMMY TRASCHER,210 TOP HILL,SAN ANTONIO,TX,78209
11418397706,736 S. ST. MARY'S ST. MANAGEMENT LTD.,736 S SAINT MARYS ST,SAN ANTONIO,TX,78205-3435,ACTIVE,TX,7/12/02,0800102277,JAYKUMAR D PATEL,736 S. ST. MARY'S STREET,SAN ANTONIO,TX,78205
11419090730,"VENTANA KENDRICK DEVELOPERS, L.L.C.",700 N SAINT MARYS ST STE 1825,SAN ANTONIO,TX,78205-3545,ACTIVE,TX,11/30/18,0800342741,ROBERT C CLARK,"700 N. ST. MARY'S STREET, SUITE 1825",SAN ANTONIO,TX,78205
11617360893,"DRINK COFFEE & WINE BAR, INC.",610 E MARKET ST UNIT 3109,SAN ANTONIO,TX,78205-2683,ACTIVE,TX,10/6/05,0800554443,GREG BARRINEAU,25726 PEREGRINE RIDGE,SAN ANTONIO,TX,78260
12000162482,FLORESVILLE/181 LESSEE INCORPORATED,300 CONVENT ST STE 1500 C/O AKIN GUMP,SAN ANTONIO,TX,78205-3723,ACTIVE,TX,1/10/03,0800162139,STEPHEN L GOLDEN,"DRENNER & GOLDEN STUART WOLFF, LLP 300 CONVENT STR",SAN ANTONIO,TX,78205
12000734900,"CORE BUSINESS SOLUTIONS, INC.",610 E MARKET ST UNIT 3306,SAN ANTONIO,TX,78205-2750,ACTIVE,TX,7/11/03,0800224000,DAVID I ARMSTRONG,4014 N. JACKSON RD.,PHARR,TX,78577
12001955645,GREATER SAN ANTONIO AFTER-SCHOOL ALL-STARS,300 CONVENT ST STE 2200,SAN ANTONIO,TX,78205-1316,ACTIVE,TX,8/28/03,0800241128,JANE MACON,300 CONVENT ST STE 2200,SAN ANTONIO,TX,78205
12002819816,"JASMAS, INC.",302 E COMMERCE ST,SAN ANTONIO,TX,78205-2922,ACTIVE,TX,6/20/08,0800255392,JAMES MONTES,130 TALAVERA #1325,SAN ANTONIO,TX,78232
12003195331,"CORAZON MINISTRIES, INC.",230 E TRAVIS ST,SAN ANTONIO,TX,78205-1702,ACTIVE,TX,10/8/03,0800255750,CAROL GAMBLE,230 EAST TRAVIS STREET,SAN ANTONIO,TX,78205
12004194051,BEXAR COUNTY ARTS AND CULTURAL FUND,115 AUDITORIUM CIR,SAN ANTONIO,TX,78205-1354,ACTIVE,TX,2/11/13,0800259594,FRANK B. BURNEY,300 CONVENT STE. 2500,SAN ANTONIO,TX,78205
12005365379,"DOUBLE J HOLDINGS, L.L.C.",849 E COMMERCE ST STE 533,SAN ANTONIO,TX,78205-4042,FRANCHISE TAX INVOLUNTARILY ENDED,TX,1/15/21,0800276791,JOSEPH J. MARTINEZ,713 TREATY OAK,SAN ANTONIO,TX,78258
12006275510,"ASSOCIATION OF SOUTH TEXAS COMMUNITIES, INC.",130 E TRAVIS ST STE 300,SAN ANTONIO,TX,78205-1787,ACTIVE,TX,12/30/03,0800288885,CHRIS EDWARD ALDRETE,"130 E TRAVIS ST, STE 300",SAN ANTONIO,TX,78205
12008061355,"CUS SAN ANTONIO, LLC",409 E COMMERCE ST,SAN ANTONIO,TX,78205-2657,ACTIVE,TX,12/29/03,0800285323,"M. JACK MARTIN, III",3345 BEE CAVE ROAD STE. 105,AUSTIN,TX,78746
12011098576,REMEMBER THE ICE CREAM ! LTD.,111 W CROCKETT ST STE 207,SAN ANTONIO,TX,78205-2587,ACTIVE,TX,5/10/04,0800339558,JON GOODMAN,111 W CROCKETT ST 207,SAN ANTONIO,TX,78205
12011689473,"SISTERDALE REALTY, L.L.C.",112 E PECAN ST STE 1025,SAN ANTONIO,TX,78205-1577,ACTIVE,TX,5/25/04,0800346012,CAROLINE A. FORGASON,"700 N. ST. MARY'S, STE. 1200",SAN ANTONIO,TX,78205
12014145705,"RP GEORGETOWN DEVELOPMENT CO., LLC",239 E COMMERCE ST,SAN ANTONIO,TX,78205-2923,ACTIVE,TX,7/26/04,0800369832,PAT MALONEY JR,239 EAST COMMERCE ST.,SAN ANTONIO,TX,78205
12014778018,"S.A. BURGERS, LP",112 E PECAN ST STE 1212,SAN ANTONIO,TX,78205-1531,ACTIVE,TX,8/10/04,0800375060,GREGG WESTON,"112 EAST PECAN STREET, SUITE 1212",SAN ANTONIO,TX,78205
12016031747,"121 POB, LP",121 ALAMO PLZ,SAN ANTONIO,TX,78205-2601,ACTIVE,TX,12/10/09,0800379240,CHRISTOPHER T. JONES,6200 MAPLE AVENUE,DALLAS,TX,75235
12016924156,"SAN MIGUEL, INC.",419 N SAINT MARYS ST,SAN ANTONIO,TX,78205-1703,ACTIVE,TX,9/29/04,0800396240,ALBERT SAN MIGUEL,419 N ST. MARY'S,SAN ANTONIO,TX,78205
12017459277,"ATKINS INTERNATIONAL, LLC",501 SOLEDAD ST,SAN ANTONIO,TX,78205-1508,ACTIVE,TX,9/25/03,0800251173,STEVE ATKINS,3207 SABLE CREEK,SAN ANTONIO,TX,78259
12018206370,LEAGUE OF LATIN AMERICAN CITIZENS COUNCIL 4625,111 SOLEDAD ST STE 1325,SAN ANTONIO,TX,78205-2260,FORFEITED,TX,,,,,,,
12019429963,"APPLE JACK PARTNERS, LLC",700 N SAINT MARYS ST STE 1825,SAN ANTONIO,TX,78205-3545,ACTIVE,TX,5/29/07,0800400300,WADE CALDWELL,238 WEST KINGS HIGHWAY,SAN ANTONIO,TX,78212
12021308460,EN SU CASA PRIMARY HOME CARE SERVICES INCORPORATED,401 S PRESA ST,SAN ANTONIO,TX,78205-3426,ACTIVE,TX,6/19/03,0800215999,LINDA SMITH,401 S. PRESA,SAN ANTONIO,TX,78205
12021597856,"RP GEORGETOWN DEVELOPMENT CO. NO. 2, LLC",239 E COMMERCE ST,SAN ANTONIO,TX,78205-2923,ACTIVE,TX,7/26/04,0800370502,PAT MALONEY JR,230 EAST COMMERCE ST.,SAN ANTONIO,TX,78205
12021637785,"COLDWATER VENTURES, LLC",118 BROADWAY ST STE 534,SAN ANTONIO,TX,78205-2082,ACTIVE,TX,1/12/05,0800439230,MICHAEL WESTHEIMER,118 BROADWAY STE 534,SAN ANTONIO,TX,78205
12029539454,"RIVERTON BEVERAGES HOLDING ONE, LLC",315 E COMMERCE ST STE 300,SAN ANTONIO,TX,78205-2947,ACTIVE,TX,6/6/05,0800501918,JACK J SPECTOR,315 E. COMMERCE STREET SUITE 300,SAN ANTONIO,TX,78205
12029573933,"RIVERTON BEVERAGES HOLDING TWO, LLC",315 E COMMERCE ST STE 300,SAN ANTONIO,TX,78205-2947,ACTIVE,TX,6/6/05,0800501919,JACK J SPECTOR,315 E. COMMERCE STREET SUITE 300,SAN ANTONIO,TX,78205
12029574568,"RIVERTON BEVERAGES HOLDING THREE, LLC",315 E COMMERCE ST STE 300,SAN ANTONIO,TX,78205-2947,ACTIVE,TX,6/6/05,0800501925,JACK J SPECTOR,315 E. COMMERCE STREET SUITE 300,SAN ANTONIO,TX,78205
12029575367,"RIVERTON BEVERAGES, LLC",306 W MARKET ST,SAN ANTONIO,TX,78205-2953,ACTIVE,TX,6/6/05,0800501912,JACK J SPECTOR,315 E. COMMERCE STREET SUITE 300,SAN ANTONIO,TX,78205
12029609349,"SCHERTZ 1518 DEVELOPMENT CO., LLC",314 E COMMERCE ST STE 600,SAN ANTONIO,TX,78205-2957,FRANCHISE TAX INVOLUNTARILY ENDED,TX,2/28/20,0800502063,JESSE L. WHITTENTON,6836 BEE CAVE ROAD SUITE 400,AUSTIN,TX,78746
12031527356,HEALTHCARE BIOSCIENCE DEVELOPMENT CORPORATION,602 E COMMERCE ST,SAN ANTONIO,TX,78205-2620,ACTIVE,TX,5/5/05,0800489063,JOE KRIER,602 EAST COMMERCE,SAN ANTONIO,TX,78205
12039571869,IRA STONELEIGH FEECO LLC,405 N SAINT MARYS ST STE 850,SAN ANTONIO,TX,78205-2324,FORFEITED,DE,,,"INTERNACIONAL REALTY, INC.","405 N. ST. MARY'S ST., STE. 850",SAN ANTONIO,TX,78205
12041508966,"IT'S AGLOW, INCORPORATED",518 RIVERWALK,SAN ANTONIO,TX,78205-2632,ACTIVE,TX,2/15/06,0800611730,KELLY BOCKHOLT,201 E. COMMERCE SUITE RW-3,SAN ANTONIO,TX,78205
12041669206,NEW O'BRIEN L.L.C.,116 NAVARRO ST,SAN ANTONIO,TX,78205-2933,ACTIVE,TX,2/25/08,0800599510,JOSE BARBERA,116 NAVARRO ST.,SAN ANTONIO,TX,78205
12059811070,CENTRO PARTNERSHIP SAN ANTONIO,110 BROADWAY ST STE 230,SAN ANTONIO,TX,78205-1974,ACTIVE,TX,10/23/06,0800723951,PAT DIGIOVANNI,"110 BROADWAY, STE. 230",SAN ANTONIO,TX,78205
12070635904,THOMAS E PAWEL EXEMPTION TRUST,100 W HOUSTON ST STE 1500,SAN ANTONIO,TX,78205-1424,ACTIVE,TX,,,,,,,
12070636134,THOMAS E PAWEL MARITAL TRUST,100 W HOUSTON ST STE 1500,SAN ANTONIO,TX,78205-1424,ACTIVE,TX,,,,,,,
12371499356,TEXAS STATE ASSOCIATION OF PARLIAMENTARIANS,109 ARCINIEGA ST,SAN ANTONIO,TX,78205-3478,ACTIVE,TX,1/30/08,0074585301,BETTY S GREEN,1601 EDERVILLE RD. SOUTH,FORT WORTH,TX,76103
12374084221,"VET TRIIP, INC.",1004 S SAINT MARYS ST,SAN ANTONIO,TX,78205-3413,ACTIVE,TX,5/7/74,0034234001,MATT C. STOLHANDSKE,1004 SOUTH ST. MARY'S STREET,SAN ANTONIO,TX,78205
12503659406,ROBERT G. GUNN CORPORATION,711 NAVARRO ST STE 235,SAN ANTONIO,TX,78205-1710,ACTIVE,TX,12/13/77,0042202500,ROBERT G GUNN III,"711 NAVARRO, STE. 406",SAN ANTONIO,TX,
12641384636,J.D. ALEXANDER MINERAL PARTNERS,112 E PECAN ST STE 1025,SAN ANTONIO,TX,78205-1577,ACTIVE,TX,,,,,,,
12700285369,S/H AUSTIN PARTNERSHIP,315 E COMMERCE ST STE 300,SAN ANTONIO,TX,78205-2947,ACTIVE,TX,,,,,,,
13000017460,"TMACT, INC.",300 CONVENT ST STE 2200,SAN ANTONIO,TX,78205-1316,ACTIVE,TX,12/17/01,0800037052,MICHAEL M. PARKER,"300 CONVENT ST., STE. 2200",SAN ANTONIO,TX,78205
13002119611,NATIONAL WESTERN ART FOUNDATION,210 W MARKET ST,SAN ANTONIO,TX,78205-2988,ACTIVE,TX,10/31/03,0800264407,MICHAEL L. KREAGER,"7373 BROADWAY, STE. 500",SAN ANTONIO,TX,78209
13002548744,CLOTHESLINE CLEANERS CORPORATION,1006 S SAINT MARYS ST,SAN ANTONIO,TX,78205-3413,ACTIVE,TX,3/19/04,0800319391,DERBA S. MILLS,513 MISTY WATER LANE,SAN ANTONIO,TX,78260
13200175654,"KRAFER'S, L.L.C.",709 S ALAMO ST,SAN ANTONIO,TX,78205-3403,ACTIVE,TX,1/15/02,0800046083,RENE FERNANDEZ,713 S. ALAMO STREET,SAN ANTONIO,TX,78205
13200929860,SAN ANTONIO LEGAL SERVICES ASSOCIATION,100 DOLOROSA STE 500,SAN ANTONIO,TX,78205-3067,ACTIVE,TX,7/3/03,0800222720,SARAH DINGIVAN,331 ENCINO AVE.,SAN ANTONIO,TX,78209
13201227066,"AUREUS PARTNERS, INC.",205 N PRESA ST STE B301,SAN ANTONIO,TX,78205-2779,FRANCHISE TAX INVOLUNTARILY ENDED,TX,1/15/21,0800363076,JUSTIN B DEMERATH,808 WEST AVE.,AUSTIN,TX,78701
13310413805,CHAMPIONS SCHOLARSHIP FOUNDATION,300 CONVENT ST STE 2200,SAN ANTONIO,TX,78205-1316,ACTIVE,,1/6/03,0800159915,JANE H MACON,300 CONVENT ST. STE 2200,SAN ANTONIO,TX,78205
13521969983,ECCA ENTERPRISES INC.,175 E HOUSTON ST,SAN ANTONIO,TX,78205-2255,ACTIVE,CA,,,,,,,
13523728825,TIENDANET ENTERPRISES LLC,519 S PRESA ST,SAN ANTONIO,TX,78205-3428,ACTIVE,TX,12/16/09,0801206581,ANNETTE C. ALANIZ,502 CLAUDE W BLACK,SAN ANTONIO,TX,78203
13836932932,"HIXON MOTOR SPORTS, LLC",315 E COMMERCE ST STE 300,SAN ANTONIO,TX,78205-2947,ACTIVE,TX,11/4/03,0800265320,GEORGE C HIXON,315 E. COMMERCE ST STE 300,SAN ANTONIO,TX,78205
13909838966,"PABST BREWING COMPANY, LLC",110 E HOUSTON ST FL 3,SAN ANTONIO,TX,78205-2991,ACTIVE,DE,12/28/53,0001567106,CORPORATION SERVICE COMPANY D/B/A CSC-LAWYERS INCO,211 E. 7TH STREET SUITE 620,AUSTIN,TX,78701
14121425756,RINGSIDE SPORTS BAR INC.,1163 E COMMERCE ST,SAN ANTONIO,TX,78205-3305,ACTIVE,TX,6/14/04,0800354859,DANIEL C TREVINO,2318 W. HERMOSA,SAN ANTONIO,TX,78201
14122441968,"BUDGET SELF STORAGE - DENTON, LTD.",314 E COMMERCE ST STE 600,SAN ANTONIO,TX,78205-2957,ACTIVE,TX,3/9/07,0800786188,CHRISTOPHER K PRICE,"314 E. COMMERCE, SUITE 600",SAN ANTONIO,TX,78205
14122441984,"B. S. S. - PLEASANTON, LTD.",314 E COMMERCE ST STE 600,SAN ANTONIO,TX,78205-2957,ACTIVE,TX,2/27/07,0800780593,CHRISTOPHER K PRICE,"314 E. COMMERCE ST., SUITE 600",SAN ANTONIO,TX,78205
14215674251,GENESI USA INC.,112 E PECAN ST STE 2625,SAN ANTONIO,TX,78205-1512,FORFEITED,NV,,,BUCK HAMILTON WILLIAM,200 PATTERSON AVE.,SAN ANTONIO,TX,78209
14319729183,THE LIFSHUTZ FOUNDATION,215 W TRAVIS ST,SAN ANTONIO,TX,78205-1421,ACTIVE,TX,8/19/02,0800114169,RAYMOND J. SCHNEIDER,215 W. TRAVIS,SAN ANTONIO,TX,78205
14319971652,"COMMUNITY PLUS MANAGEMENT, LLC",454 SOLEDAD ST STE 300,SAN ANTONIO,TX,78205-1555,FRANCHISE TAX ENDED,TX,5/20/20,0800172657,ALLEN GHORMLEY,"454 SOLEDAD, SUITE 300",SAN ANTONIO,TX,78205
14504186652,"SIGNET INVESTMENTS, L.C.",112 E PECAN ST FL 30,SAN ANTONIO,TX,78205-1512,ACTIVE,TX,9/28/05,0800550876,BANKS M SMITH,112 EAST PECAN STREET 30TH FLOOR,SAN ANTONIO,TX,78205
14504880114,"TRIALSOFT TECHNOLOGIES, INC.",424 E NUEVA,SAN ANTONIO,TX,78205-3422,ACTIVE,TX,10/17/19,0800121463,CHRIS K GOBER,424 E. NUEVA,SAN ANTONIO,TX,78205
14504906208,YNDO COMMERCIAL REAL ESTATE COMPANY,935 S ALAMO ST,SAN ANTONIO,TX,78205-3438,ACTIVE,TX,10/25/02,0800137538,STEPHEN W. YNDO,923 SOUTH ALAMO #1,SAN ANTONIO,TX,78205
14569862734,"YENOLAM MANAGEMENT, LLC",239 E COMMERCE ST,SAN ANTONIO,TX,78205-2923,ACTIVE,TX,9/28/01,0800014744,JOHN PATRICK MALONEY JR,239 E COMMERCE ST,SAN ANTONIO,TX,78205
14597621466,"CAFGP, L.L.C.",112 E PECAN ST STE 1025,SAN ANTONIO,TX,78205-1577,ACTIVE,TX,12/15/03,0800279698,CAROLINE A FORGASON,"700 N. ST. MARY'S, SUITE 1200",SAN ANTONIO,TX,78205
14597621474,"EAHGP, L.L.C.",112 E PECAN ST STE 1025,SAN ANTONIO,TX,78205-1577,ACTIVE,TX,9/30/03,0800252896,EMORY ALEXANDER HAMILTON,700 N. ST. MARY'S STE 1200,SAN ANTONIO,TX,78205
14597621516,"HCA VENTURES, L.L.C.",112 E PECAN ST STE 1025,SAN ANTONIO,TX,78205-1577,ACTIVE,TX,2/24/03,0800177288,JOHN SCHIEFFER,700 N. ST. MARY'S STE 1200,SAN ANTONIO,TX,78205
14604658964,"RIVER CENTER DRUG STORE, INC.",209 ALAMO PLZ,SAN ANTONIO,TX,78205-2686,ACTIVE,TX,2/7/02,0800053188,KENDALL NEELY,123 ALAMO PLAZA,SAN ANTONIO,TX,78205
14604658980,"LA TIENDA, INC.",123 ALAMO PLZ,SAN ANTONIO,TX,78205-2601,ACTIVE,TX,2/7/02,0800053264,LARRY KACHDOURIAN,123 ALAMO PLAZA,SAN ANTONIO,TX,78205
14604890179,"1 CHRONICLES 14 GP, LLC",112 E PECAN ST STE 1212,SAN ANTONIO,TX,78205-1531,ACTIVE,TX,10/27/08,0800087674,GREGG WESTON,112 E PECAN ST STE 1212,SAN ANTONIO,TX,78205
14604932005,"RESIDENTIAL ENERGY ASSISTANCE PARTNERSHIP, INC.",145 NAVARRO ST,SAN ANTONIO,TX,78205-2934,ACTIVE,TX,5/31/02,0800089038,CAROLYN E. SHELLMANN,145 NAVARRO,SAN ANTONIO,TX,78205
14628872674,"PROMOTER.IO, INC.",110 E HOUSTON ST FL 6,SAN ANTONIO,TX,78205-2991,ACTIVE,DE,12/19/14,0802121695,C T CORPORATION SYSTEM,1999 BRYAN ST. SUITE 900,DALLAS,TX,75201
15104276124,"WORLD RECORDS, LTD.",329 ALAMO PLZ,SAN ANTONIO,TX,78205-2667,ACTIVE,TX,9/24/02,0800126943,"PHILLIPS ENTERTAINMENT, INC.",329 ALAMO PLAZA,SAN ANTONIO,TX,78205
15105445678,"RANDADO PROPERTIES, LLC",310 S SAINT MARYS ST STE 500,SAN ANTONIO,TX,78205-3123,ACTIVE,TX,5/23/05,0800496248,RONALD A NIPPER,310 ST. MARY'S ST SUITE 500,SAN ANTONIO,TX,78205
15222304139,"PROFESSIONAL 1031 SERVICES, LLC",100 W HOUSTON ST STE 1450,SAN ANTONIO,TX,78205-1444,ACTIVE,TX,12/9/99,0705977722,RICHARD H TYE,1450 FROST BANK TOWER 100 W. HOUSTON ST,SAN ANTONIO,TX,78205
15224422376,"LOMAS DF, L.L.C.",CONVENT PLAZA 333 CONVENT ST.,SAN ANTONIO,TX,78205,ACTIVE,TX,3/30/04,0800323438,JOSEPH B. NEWTON,CONVENT PLAZA 333 CONVENT ST.,SAN ANTONIO,TX,78205
15624495733,"TITO'S RESTAURANT, INC.",955 S ALAMO ST,SAN ANTONIO,TX,78205-3438,ACTIVE,TX,3/31/04,0800323970,MARK RODRIGUEZ,135 EPLER,SAN ANTONIO,TX,78228
16114607092,"ACTIVA RESOURCES, LLC",403 E COMMERCE ST STE 220,SAN ANTONIO,TX,78205-2776,ACTIVE,TX,4/2/07,0800796181,"CAPITOL CORPORATE SERVICES, INC.","206 E. 9TH STREET, SUITE 1300",AUSTIN,TX,78701
17405487194,CATTO & CATTO INC.,106 S SAINT MARYS ST STE 800,SAN ANTONIO,TX,78205-3603,ACTIVE,TX,12/17/20,0803866423,JAMES L. HAYNE JR,"106 S. ST. MARY'S STREET, SUITE 800",SAN ANTONIO,TX,78205
17408069510,NEWMAN BROTHERS DRILLING COMPANY,112 E PECAN ST STE 1330,SAN ANTONIO,TX,78205-1536,ACTIVE,,,,,,,,
17408791303,SAN ANTONIO HERMANN SONS HOME ASSOCIATION,525 S SAINT MARYS ST,SAN ANTONIO,TX,78205-3430,ACTIVE,TX,7/28/09,0002056201,LORI R TODD,525 S ST MARYS ST,SAN ANTONIO,TX,78205
17408791436,SAN ANTONIO HOTEL & LODGING ASSOCIATION,119 HEIMAN ST STE 300,SAN ANTONIO,TX,78205-2108,ACTIVE,TX,5/6/15,0007330701,ELIZABETH BARRATACHEA,"119 HEIMAN, STE 300",SAN ANTONIO,TX,78216
17410971257,"TEXAS HOME MORTGAGE, INC.",215 W TRAVIS ST,SAN ANTONIO,TX,78205-1421,ACTIVE,TX,2/20/50,0010190100,JAMES G LIFSHUTZ,215 W. TRAVIS ST.,SAN ANTONIO,TX,78205
17411004785,SAN ANTONIO BAR ASSOCIATION,100 DOLOROSA STE 500,SAN ANTONIO,TX,78205-3067,ACTIVE,TX,2/24/12,0009494001,JUNE MOYNIHAN,100 DOLOROSA 5TH FLOOR,SAN ANTONIO,TX,78205
17411097318,"WARM SPRINGS FOUNDATION, INC.",110 BROADWAY ST STE 230,SAN ANTONIO,TX,78205-1974,ACTIVE,TX,3/20/37,0007109901,DENNIS E NOLL,"303 PEARL PARKWAY, SUITE 114",SAN ANTONIO,TX,78215
17411431160,"CENTRAL CHRISTIAN CHURCH (DISCIPLES OF CHRIST), SA",720 N MAIN AVE,SAN ANTONIO,TX,78205-1106,ACTIVE,TX,5/9/45,0008428501,JASON FORSYTH,720 NORTH MAIN AVE,SAN ANTONIO,TX,78205
17411431236,ST. JOHN'S EVANGELICAL LUTHERAN CHURCH OF SAN ANTO,502 E NUEVA,SAN ANTONIO,TX,78205-3424,ACTIVE,TX,7/19/28,0005180801,WALTER M COURTER,502 E. NUEVA,SAN ANTONIO,TX,78205
17411431251,ST. MARK'S EPISCOPAL CHURCH OF SAN ANTONIO,315 E PECAN ST,SAN ANTONIO,TX,78205-1819,ACTIVE,TX,6/29/23,0004013501,ELIZABETH C KNOWLTON,315 EAST PECAN ST.,SAN ANTONIO,TX,78205
17411431277,ST MARY'S CATHOLIC CHURCH,202 N SAINT MARYS ST,SAN ANTONIO,TX,78205-2304,ACTIVE,,,,,,,,
17411526001,"TRAVIS PARK UNITED METHODIST CHURCH FOUNDATION, IN",230 E TRAVIS ST,SAN ANTONIO,TX,78205-1781,ACTIVE,TX,9/19/69,0026657401,MONTE MARSHALL,230 EAST TRAVIS ST,SAN ANTONIO,TX,78205
17411758372,FIRST PRESBYTERIAN CHURCH,404 N ALAMO ST,SAN ANTONIO,TX,78205-1985,ACTIVE,,,,,,,,
17411801883,CHRIST EPISCOPAL CHURCH OF SAN ANTONIO,700 N SAINT MARYS ST STE 1800,SAN ANTONIO,TX,78205-3502,ACTIVE,TX,10/16/11,0002370601,PAUL T. CURL,"700 NORTH ST. MARY'S STREET, SUITE 1800",SAN ANTONIO,TX,78205
17411896768,ST JOSEPH DOWNTOWN CATHOLIC CHURCH,623 E COMMERCE ST,SAN ANTONIO,TX,78205-2693,ACTIVE,,,,,,,,
17412117107,HOPE MEDICAL SUPPLY COMPANY,1116 E HOUSTON ST STE 108,SAN ANTONIO,TX,78205-2126,ACTIVE,TX,5/11/54,0011983200,ALBERRT R VALE,1116 E. HOUSTON ST.,SAN ANTONIO,TX,78205
17412373171,"JOHN HERWECK, INC.",300 BROADWAY ST,SAN ANTONIO,TX,78205-1991,ACTIVE,TX,10/5/55,0012842400,SCOTT ROTE,300 BROADWAY,SAN ANTONIO,TX,78205
17412849949,"ALAMO MUSIC CENTER, INC.",425 N MAIN AVE,SAN ANTONIO,TX,78205-1482,ACTIVE,TX,12/5/56,0013652700,ALFREDO L FLORES,336 WEST COMMERCE STREET,SAN ANTONIO,TX,
17412865531,"CONCORD OIL COMPANY, LP",100 W HOUSTON ST STE 1500,SAN ANTONIO,TX,78205-1424,ACTIVE,TX,10/1/18,0803129315,ELIZABETH J. CANTRELL,"100 WEST HOUSTON STREET, SUITE 1500",SAN ANTONIO,TX,78205
17412949806,"CURTIS C. GUNN, LTD.",227 BROADWAY ST,SAN ANTONIO,TX,78205-1923,ACTIVE,TX,1/1/02,0800026705,ADRIAN GUEVARA,227 BROADWAY,SAN ANTONIO,TX,78205
17413679600,"MISSION OIL COMPANY, LP",100 W HOUSTON ST STE 1500,SAN ANTONIO,TX,78205-1424,ACTIVE,TX,10/1/18,0803129297,ELIZABETH J. CANTRELL,"100 WEST HOUSTON STREET, SUITE 1500",SAN ANTONIO,TX,78205
17413885561,"BERLTEX REAL ESTATE HOLDINGS, INC.",215 W TRAVIS ST,SAN ANTONIO,TX,78205-1421,ACTIVE,TX,12/31/51,0010897600,JAMES G LIFSHUTZ,215 W. TRAVIS ST.,SAN ANTONIO,TX,78205
17413913512,EDWIN M. JONES OIL CO.,115 E TRAVIS ST STE 404,SAN ANTONIO,TX,78205-1662,ACTIVE,TX,7/1/61,0017577100,BENJAMIN F. YOUNGBLOOD III,"8207 CALLAGHAN RD., STE. 100",SAN ANTONIO,TX,78230
17414008262,SAN FERNANDO CATHEDRAL,115 W MAIN PLZ,SAN ANTONIO,TX,78205-2718,ACTIVE,TX,,,,,,,
